m/z,UPEC_12,mean
768.5863,0.2618658601597461,0.2618658601597461
746.6023,0.2480623631784693,0.2480623631784693
796.525,0.24044402608228,0.24044402608228
780.5508,0.2349641274154614,0.2349641274154614
758.5668,0.2244393466229299,0.2244393466229299
756.5519,0.224174741660895,0.224174741660895
806.5646,0.2192983758854378,0.2192983758854378
737.4527,0.219066147697293,0.219066147697293
744.5874,0.2160046068997441,0.2160046068997441
534.292,0.2154879146638291,0.2154879146638291
766.5714,0.2148860318617343,0.2148860318617343
798.54,0.2148145489593335,0.2148145489593335
518.3227,0.2120609099260891,0.2120609099260891
721.47845,0.2116931746714063,0.2116931746714063
772.5211,0.2110981572912362,0.2110981572912362
824.5538,0.2108511286246426,0.2108511286246426
786.60046,0.209268026571999,0.209268026571999
318.10678,0.2091751053240088,0.2091751053240088
782.5657,0.2087384052587446,0.2087384052587446
732.553,0.2082830453662323,0.2082830453662323
808.57947,0.2081816730336507,0.2081816730336507
496.33868,0.2073247266945337,0.2073247266945337
723.49335,0.2046805762235,0.2046805762235
739.46765,0.2046074500025001,0.2046074500025001
709.514,0.2025571121847871,0.2025571121847871
720.5885,0.2011055236029247,0.2011055236029247
551.50116,0.200798201018473,0.200798201018473
770.5062,0.200253488721105,0.200253488721105
562.3257,0.1997094886210026,0.1997094886210026
603.5338,0.1994689065356234,0.1994689065356234
754.5369,0.1994524615933898,0.1994524615933898
575.5001,0.1983913790815432,0.1983913790815432
820.5239,0.1972078024932618,0.1972078024932618
577.52,0.1962170238306997,0.1962170238306997
760.58167,0.1938237587208758,0.1938237587208758
749.5072,0.1933238593818653,0.1933238593818653
599.504,0.191476208543697,0.191476208543697
741.5275,0.1907364864100357,0.1907364864100357
734.5679,0.1902964334449711,0.1902964334449711
747.49225,0.1892250581005773,0.1892250581005773
804.5497,0.1890516377513696,0.1890516377513696
761.45166,0.1881401883981449,0.1881401883981449
765.48145,0.1865562006388263,0.1865562006388263
745.47736,0.1860175654898779,0.1860175654898779
848.5577,0.1858639639498545,0.1858639639498545
627.5327,0.1857921848817445,0.1857921848817445
369.34946,0.185756412737187,0.185756412737187
788.6154,0.1856733000709235,0.1856733000709235
826.56866,0.1855321876306549,0.1855321876306549
810.5994,0.1846259726030965,0.1846259726030965
846.5378,0.1844058187297323,0.1844058187297323
703.5743,0.1843321193841148,0.1843321193841148
682.4552,0.1841277062469782,0.1841277062469782
725.5533,0.1837741610665264,0.1837741610665264
832.5834,0.1833311435674632,0.1833311435674632
744.49243,0.1831959531516087,0.1831959531516087
796.63007,0.182553826853194,0.182553826853194
711.4339,0.1804044833933705,0.1804044833933705
605.5487,0.1800475699725583,0.1800475699725583
806.5096,0.1792687133914432,0.1792687133914432
313.272,0.1792265210323429,0.1792265210323429
718.5736,0.1791432918875195,0.1791432918875195
524.36743,0.1790994381916714,0.1790994381916714
707.4991,0.1790348890213635,0.1790348890213635
601.5189,0.178209860480224,0.178209860480224
367.33456,0.1773059005746344,0.1773059005746344
478.3295,0.1772815311477957,0.1772815311477957
742.5675,0.1763017815881375,0.1763017815881375
546.35144,0.1762486116860839,0.1762486116860839
767.49634,0.1760526870616053,0.1760526870616053
713.4488,0.1759684470811172,0.1759684470811172
549.48627,0.174884392079816,0.174884392079816
563.54065,0.1747462760336358,0.1747462760336358
830.5635,0.1742062947146084,0.1742062947146084
763.46155,0.1737192837930889,0.1737192837930889
393.29837,0.1734330311614447,0.1734330311614447
385.34375,0.1730072800048997,0.1730072800048997
844.5229,0.1728944577068203,0.1728944577068203
697.47455,0.1728851552257148,0.1728851552257148
341.30576,0.1728265833087975,0.1728265833087975
814.5592,0.172411177831857,0.172411177831857
728.5181,0.1723179654253919,0.1723179654253919
740.5526,0.1721279383252265,0.1721279383252265
835.66327,0.1719191808242897,0.1719191808242897
768.55133,0.1718817993861997,0.1718817993861997
560.3108,0.1709637852320121,0.1709637852320121
485.2992,0.1693395914813144,0.1693395914813144
751.5221,0.1685486781409679,0.1685486781409679
851.6375,0.1684668465718615,0.1684668465718615
522.3575,0.168119761949851,0.168119761949851
818.59406,0.1670367565344919,0.1670367565344919
409.26764,0.1669284407299298,0.1669284407299298
459.2454,0.1639777212790417,0.1639777212790417
339.29083,0.1639145395149966,0.1639145395149966
785.45056,0.1635529365006497,0.1635529365006497
325.06647,0.1635498002801957,0.1635498002801957
787.46545,0.1634585771362611,0.1634585771362611
441.2362,0.1630021351754307,0.1630021351754307
801.4248,0.1628025170652991,0.1628025170652991
430.37668,0.1625650805516715,0.1625650805516715
746.5673,0.1619757563711662,0.1619757563711662
813.68427,0.1617258534746468,0.1617258534746468
683.5002,0.1612931679439971,0.1612931679439971
816.5791,0.1609769459659564,0.1609769459659564
789.48035,0.1607157979381248,0.1607157979381248
731.498,0.1607041605715793,0.1607041605715793
706.5391,0.1605709366431138,0.1605709366431138
947.5032,0.1601339231991956,0.1601339231991956
772.61615,0.1592585863527413,0.1592585863527413
769.5613,0.1591411057992063,0.1591411057992063
776.59094,0.1589852143321271,0.1589852143321271
666.48096,0.1586239461408517,0.1586239461408517
784.5256,0.1583180978163082,0.1583180978163082
790.5553,0.1568553735352372,0.1568553735352372
844.4629,0.1567347075324017,0.1567347075324017
794.51013,0.1565108722117051,0.1565108722117051
504.34332,0.1558689244129448,0.1558689244129448
695.45966,0.155749646869579,0.155749646869579
520.50757,0.1550818169050251,0.1550818169050251
828.4936,0.1549802288312207,0.1549802288312207
850.49756,0.1549573378512121,0.1549573378512121
812.5193,0.1548087060713312,0.1548087060713312
740.5226,0.153635384113649,0.153635384113649
371.31937,0.1536225352124071,0.1536225352124071
863.682,0.1535756978293887,0.1535756978293887
963.4775,0.1533863129166702,0.1533863129166702
337.2759,0.1532406159403863,0.1532406159403863
792.56525,0.1532279179830989,0.1532279179830989
856.5423,0.1529487913468907,0.1529487913468907
812.5493,0.1525695151637743,0.1525695151637743
625.5178,0.1524765463716718,0.1524765463716718
852.5125,0.1522134148510278,0.1522134148510278
419.2522,0.1519210666452259,0.1519210666452259
469.32492,0.1514122651271388,0.1514122651271388
735.4328,0.1513660715250693,0.1513660715250693
796.585,0.1509466942228212,0.1509466942228212
842.58795,0.1509322409716785,0.1509322409716785
830.5285,0.1506136911856375,0.1506136911856375
840.57306,0.1505736921408622,0.1505736921408622
870.5367,0.1504836047437828,0.1504836047437828
925.51917,0.1500966570929357,0.1500966570929357
778.5359,0.149921384966903,0.149921384966903
475.21967,0.1498648889743498,0.1498648889743498
537.5218,0.1498101934155395,0.1498101934155395
465.2351,0.1494122443066973,0.1494122443066973
794.5701,0.1489802554326668,0.1489802554326668
766.5414,0.1483067139009783,0.1483067139009783
727.5182,0.146904025006054,0.146904025006054
724.5283,0.1458459554477434,0.1458459554477434
523.4725,0.1455387228546545,0.1455387228546545
849.6226,0.1449842422380723,0.1449842422380723
774.601,0.1443620357426702,0.1443620357426702
383.32883,0.144015895699578,0.144015895699578
443.2511,0.1436403065414458,0.1436403065414458
828.5536,0.1433917101714986,0.1433917101714986
864.56696,0.1433313925000124,0.1433313925000124
521.3975,0.1427294490260761,0.1427294490260761
836.5432,0.1423602752056596,0.1423602752056596
836.6132,0.1422366901386903,0.1422366901386903
788.5504,0.1420581102894567,0.1420581102894567
810.5394,0.1419461890920443,0.1419461890920443
758.53674,0.1417034795406748,0.1417034795406748
872.5566,0.1415116786650786,0.1415116786650786
880.5462,0.1411835107943515,0.1411835107943515
542.4916,0.1411414777947603,0.1411414777947603
854.5274,0.1410925567867726,0.1410925567867726
782.5057,0.1410842733217345,0.1410842733217345
366.2896,0.1408252010819272,0.1408252010819272
445.27103,0.140818167384225,0.140818167384225
825.6237,0.1407861254321136,0.1407861254321136
758.5118,0.1405680353830906,0.1405680353830906
617.5132,0.1403119616920491,0.1403119616920491
542.3216,0.1402497004680727,0.1402497004680727
818.50903,0.1399129365900688,0.1399129365900688
573.48517,0.1395754990955603,0.1395754990955603
487.2791,0.1395726425053729,0.1395726425053729
413.26248,0.1395085702280696,0.1395085702280696
872.48157,0.1393945383710417,0.1393945383710417
745.55237,0.13903745343127,0.13903745343127
401.338,0.1381859509387977,0.1381859509387977
834.5383,0.1379809260380419,0.1379809260380419
774.57104,0.1373427391413251,0.1373427391413251
735.53284,0.1373131424084493,0.1373131424084493
858.5622,0.1372475090373124,0.1372475090373124
852.5775,0.1368401855142427,0.1368401855142427
838.5581,0.1366464634180084,0.1366464634180084
856.5073,0.136370434586134,0.136370434586134
350.29532,0.1359594311078182,0.1359594311078182
804.4947,0.135756805817947,0.135756805817947
868.5268,0.1355420739430973,0.1355420739430973
751.4071,0.1353469118458979,0.1353469118458979
769.47626,0.1349555565561196,0.1349555565561196
481.20938,0.1349174724548207,0.1349174724548207
611.53845,0.1344255436009932,0.1344255436009932
833.6484,0.1340960397738407,0.1340960397738407
597.4841,0.1340115434350088,0.1340115434350088
730.538,0.1339525026755418,0.1339525026755418
802.5898,0.1337079494919646,0.1337079494919646
733.5179,0.133621017281156,0.133621017281156
797.58997,0.1334701651447259,0.1334701651447259
752.55707,0.1334482237543798,0.1334482237543798
832.5234,0.1332012651515723,0.1332012651515723
361.27484,0.1330691947722516,0.1330691947722516
889.7008,0.1330502299437631,0.1330502299437631
888.45087,0.132753098199611,0.132753098199611
519.3826,0.13263458756377,0.13263458756377
633.4874,0.1324501674668931,0.1324501674668931
778.4759,0.1319253631702284,0.1319253631702284
415.28238,0.1302801607221843,0.1302801607221843
343.04565,0.1301652202521153,0.1301652202521153
463.22018,0.1300171386435917,0.1300171386435917
421.2721,0.1297447957897449,0.1297447957897449
756.4919,0.1295471761351062,0.1295471761351062
623.5029,0.1291066802527591,0.1291066802527591
845.6728,0.1289944136666574,0.1289944136666574
719.45856,0.1281977010179477,0.1281977010179477
365.31964,0.1281312355527257,0.1281312355527257
409.16266,0.1281052409998208,0.1281052409998208
550.35626,0.1280765326028331,0.1280765326028331
342.0407,0.1277296263172523,0.1277296263172523
526.32733,0.1276714112973973,0.1276714112973973
750.5421,0.1274476431135793,0.1274476431135793
630.6176,0.1273933115107902,0.1273933115107902
818.564,0.1273162738895523,0.1273162738895523
874.5715,0.127207225900613,0.127207225900613
854.5624,0.1270191671606855,0.1270191671606855
884.50604,0.1266919259224936,0.1266919259224936
415.22238,0.1263332624907702,0.1263332624907702
885.666,0.1260192986853173,0.1260192986853173
882.56116,0.1259406327951806,0.1259406327951806
500.3135,0.125879007188661,0.125879007188661
311.26712,0.1258385545940382,0.1258385545940382
503.2534,0.1253064845909169,0.1253064845909169
753.587,0.125082897308978,0.125082897308978
447.28592,0.1248936213837744,0.1248936213837744
643.527,0.1241047559515349,0.1241047559515349
364.3097,0.1240732309883604,0.1240732309883604
381.31393,0.1240540605076611,0.1240540605076611
856.58234,0.1236043102127067,0.1236043102127067
615.4933,0.1235821909197101,0.1235821909197101
800.61487,0.1230439071623613,0.1230439071623613
878.5263,0.1230348740384643,0.1230348740384643
811.66437,0.1227137743228856,0.1227137743228856
538.3968,0.1225000213520581,0.1225000213520581
866.58185,0.1219285935312344,0.1219285935312344
399.3231,0.1218407913049859,0.1218407913049859
502.4984,0.1217243027841082,0.1217243027841082
793.5002,0.1216436927097951,0.1216436927097951
307.0523,0.1216020067284743,0.1216020067284743
382.31888,0.121583879860345,0.121583879860345
820.60394,0.1215528078868735,0.1215528078868735
506.35825,0.1210528097224192,0.1210528097224192
342.01572,0.1207460185677758,0.1207460185677758
435.10648,0.120679852630399,0.120679852630399
776.55597,0.1206481988128076,0.1206481988128076
323.27158,0.120449209607692,0.120449209607692
591.4944,0.1203813207721451,0.1203813207721451
485.2642,0.1203494333485927,0.1203494333485927
931.52893,0.1202697657626407,0.1202697657626407
393.09338,0.1200890274172068,0.1200890274172068
513.25793,0.1200344479166063,0.1200344479166063
912.5348,0.119951859219907,0.119951859219907
897.4855,0.1197331172616459,0.1197331172616459
909.5449,0.1195556257995247,0.1195556257995247
437.2014,0.1195311983779133,0.1195311983779133
397.3082,0.119222155174176,0.119222155174176
701.40936,0.1189973486397717,0.1189973486397717
809.44946,0.118919010796277,0.118919010796277
858.5922,0.1188416802469189,0.1188416802469189
773.58606,0.1183505492863256,0.1183505492863256
813.47925,0.1179850812509659,0.1179850812509659
663.4511,0.1178158607388771,0.1178158607388771
685.4351,0.1177738982854323,0.1177738982854323
730.57306,0.1172238029976191,0.1172238029976191
887.4459,0.1168839676144949,0.1168839676144949
311.05212,0.1164817466681857,0.1164817466681857
871.4716,0.116166976741591,0.116166976741591
809.6494,0.1158141118677166,0.1158141118677166
510.35806,0.1157983427254427,0.1157983427254427
467.25,0.1157814282680378,0.1157814282680378
363.29974,0.1157708513190508,0.1157708513190508
817.5591,0.1145808753146502,0.1145808753146502
662.44617,0.1145368036247538,0.1145368036247538
860.5421,0.1142529029686959,0.1142529029686959
652.60156,0.1140756690384353,0.1140756690384353
855.4974,0.1140327955407493,0.1140327955407493
876.5864,0.1138445506310656,0.1138445506310656
495.26373,0.1138040890295304,0.1138040890295304
324.27652,0.1133658161463209,0.1133658161463209
535.3769,0.1132904459740362,0.1132904459740362
816.43414,0.1130978766236732,0.1130978766236732
718.5386,0.1130342925157962,0.1130342925157962
661.5212,0.11289507523103,0.11289507523103
380.30396,0.1128093825852464,0.1128093825852464
619.5281,0.1126850760137085,0.1126850760137085
645.54193,0.1126138338438837,0.1126138338438837
604.60376,0.1125507927919492,0.1125507927919492
849.4876,0.1124955167937336,0.1124955167937336
415.31738,0.1122209923820027,0.1122209923820027
482.32434,0.1119831688289525,0.1119831688289525
537.39185,0.1119268591973079,0.1119268591973079
874.4915,0.1115632014502114,0.1115632014502114
710.48395,0.1114016575878799,0.1114016575878799
861.66705,0.1112705443692924,0.1112705443692924
650.4367,0.1110401451776319,0.1110401451776319
325.28647,0.110998250000402,0.110998250000402
702.5443,0.1108682317056956,0.1108682317056956
753.482,0.1104488063683908,0.1104488063683908
871.7066,0.1102788663489504,0.1102788663489504
363.11975,0.1100548001477683,0.1100548001477683
471.28482,0.1098679484665876,0.1098679484665876
649.5167,0.1096937959051161,0.1096937959051161
641.5121,0.1093753742853699,0.1093753742853699
811.46436,0.1085939024295108,0.1085939024295108
829.7235,0.1085697388768491,0.1085697388768491
881.51117,0.1083763304009084,0.1083763304009084
368.3045,0.108256066830817,0.108256066830817
517.36273,0.1081275631113614,0.1081275631113614
336.28098,0.1080298601955622,0.1080298601955622
871.69165,0.1078852191541609,0.1078852191541609
551.3262,0.1077492710208206,0.1077492710208206
621.483,0.1075791444331731,0.1075791444331731
897.72546,0.1073373801654848,0.1073373801654848
607.4686,0.1073134290753641,0.1073134290753641
814.4892,0.1072586910054661,0.1072586910054661
469.28992,0.1066950374137927,0.1066950374137927
725.4483,0.1061078826066546,0.1061078826066546
635.5024,0.1055121980493589,0.1055121980493589
883.77106,0.1052902565733939,0.1052902565733939
858.5272,0.1051977907630676,0.1051977907630676
538.5218,0.1050107177391748,0.1050107177391748
694.5147,0.1049679575107755,0.1049679575107755
529.3272,0.1047898479082074,0.1047898479082074
358.00998,0.1046877560201745,0.1046877560201745
896.48047,0.1045258583031029,0.1045258583031029
855.73737,0.1045208818692399,0.1045208818692399
548.31134,0.1042070355511285,0.1042070355511285
515.34784,0.1040675932797154,0.1040675932797154
891.7157,0.1039680730796557,0.1039680730796557
314.10696,0.1037634067469687,0.1037634067469687
913.4597,0.1036372654107247,0.1036372654107247
350.11035,0.1032531482263602,0.1032531482263602
862.55707,0.1030212768388257,0.1030212768388257
485.1992,0.102922248299206,0.102922248299206
628.60266,0.1025683829211818,0.1025683829211818
458.13043,0.1025278491877378,0.1025278491877378
584.3047,0.1023971216819245,0.1023971216819245
875.50146,0.1022979273474613,0.1022979273474613
838.6281,0.1021519787932788,0.1021519787932788
804.6097,0.1021182270252476,0.1021182270252476
857.75226,0.1020403898294213,0.1020403898294213
457.28046,0.1017691712323271,0.1017691712323271
346.08054,0.101686810110025,0.101686810110025
300.09262,0.1012777874246337,0.1012777874246337
382.2089,0.101243366028586,0.101243366028586
853.7224,0.1011643276912928,0.1011643276912928
738.5127,0.1007989839697823,0.1007989839697823
599.32404,0.1007037343956074,0.1007037343956074
348.28043,0.1005058166832206,0.1005058166832206
589.47943,0.1003427390272612,0.1003427390272612
646.41187,0.1002587671340317,0.1002587671340317
466.33005,0.1001747245111345,0.1001747245111345
475.28964,0.0998609119798203,0.0998609119798203
751.4621,0.0997610766298643,0.0997610766298643
913.6997,0.0990065665739139,0.0990065665739139
874.7315,0.0987754642947292,0.0987754642947292
859.53217,0.0986382535691954,0.0986382535691954
802.63477,0.0984120659274955,0.0984120659274955
534.36694,0.0983096540098716,0.0983096540098716
843.6579,0.0981030658334286,0.0981030658334286
379.294,0.0979064907272273,0.0979064907272273
626.33276,0.09764212797766,0.09764212797766
362.2948,0.0975873564238551,0.0975873564238551
433.33154,0.0974477691605141,0.0974477691605141
563.5006,0.0974303954177082,0.0974303954177082
860.6121,0.0971649754633444,0.0971649754633444
647.4218,0.0969153298606295,0.0969153298606295
473.26974,0.0968705843731176,0.0968705843731176
764.5215,0.0967221507731991,0.0967221507731991
941.48846,0.0964674014661497,0.0964674014661497
903.53516,0.0964270467631313,0.0964270467631313
701.50934,0.0960500093407811,0.0960500093407811
612.6084,0.0960430749391687,0.0960430749391687
665.381,0.096001736430174,0.096001736430174
310.17715,0.0959964739039715,0.0959964739039715
388.12363,0.0958893927922017,0.0958893927922017
731.60297,0.0955542161014577,0.0955542161014577
653.5466,0.0955309317833446,0.0955309317833446
737.50775,0.0948746882091351,0.0948746882091351
548.5413,0.0946973961038952,0.0946973961038952
723.54333,0.0943314144747995,0.0943314144747995
616.3582,0.0938192391120179,0.0938192391120179
564.2906,0.0937322830595052,0.0937322830595052
660.4212,0.0936757923726713,0.0936757923726713
426.13687,0.093556143555348,0.093556143555348
374.16925,0.0933434106176985,0.0933434106176985
408.2977,0.0933325601937977,0.0933325601937977
709.474,0.093201186627324,0.093201186627324
614.3483,0.0931851008600912,0.0931851008600912
531.3421,0.0929404876842434,0.0929404876842434
547.4714,0.0929357087878632,0.0929357087878632
310.30716,0.0923925259866014,0.0923925259866014
775.461,0.0921011004734693,0.0921011004734693
390.13852,0.0918677710316241,0.0918677710316241
896.7155,0.0917600976505997,0.0917600976505997
798.45996,0.0916844012497072,0.0916844012497072
326.10645,0.0916279425515088,0.0916279425515088
651.5316,0.091391551835264,0.091391551835264
436.18643,0.0910660981545831,0.0910660981545831
359.08994,0.0908058675089685,0.0908058675089685
549.35626,0.0907494014575716,0.0907494014575716
380.149,0.0907089428895836,0.0907089428895836
655.56146,0.0905361831888291,0.0905361831888291
519.26263,0.0904449575138948,0.0904449575138948
729.4781,0.0904103180687491,0.0904103180687491
676.4555,0.0903595439867782,0.0903595439867782
406.1678,0.0903534786908011,0.0903534786908011
839.4631,0.090324118624178,0.090324118624178
334.26105,0.0899206386651056,0.0899206386651056
416.15234,0.0899062388989132,0.0899062388989132
396.18326,0.0898028887590819,0.0898028887590819
927.4691,0.0894811922696288,0.0894811922696288
645.5019,0.0894332159717619,0.0894332159717619
551.3712,0.0894233007141898,0.0894233007141898
330.91122,0.0891900293343409,0.0891900293343409
591.53436,0.0887696233502762,0.0887696233502762
533.357,0.0884743636943604,0.0884743636943604
648.6268,0.0884371178142059,0.0884371178142059
537.4868,0.0881882634505292,0.0881882634505292
413.30246,0.0881842103570016,0.0881842103570016
376.12415,0.0880534207145748,0.0880534207145748
615.3533,0.0880342636482132,0.0880342636482132
620.39307,0.088026221766609,0.088026221766609
361.20984,0.0878976044006059,0.0878976044006059
420.21716,0.0875241779964728,0.0875241779964728
302.10254,0.0871276613732605,0.0871276613732605
912.68976,0.0868710554991765,0.0868710554991765
347.13046,0.0867904420945401,0.0867904420945401
479.23447,0.0866826688730492,0.0866826688730492
370.17444,0.0863500876580244,0.0863500876580244
352.12024,0.0860053975741202,0.0860053975741202
504.28333,0.0860024238636196,0.0860024238636196
781.6157,0.08535325987852,0.08535325987852
374.10925,0.0853143615292562,0.0853143615292562
622.368,0.0849732104974219,0.0849732104974219
565.51556,0.0847846451894016,0.0847846451894016
895.69055,0.0845572714337781,0.0845572714337781
535.23694,0.0845089003756289,0.0845089003756289
308.16226,0.0844882107773585,0.0844882107773585
630.3776,0.0844735074948764,0.0844735074948764
424.25696,0.0844423009531218,0.0844423009531218
474.2847,0.0843935764521116,0.0843935764521116
348.19043,0.0841796796460072,0.0841796796460072
403.2029,0.0839347257135328,0.0839347257135328
886.59595,0.0838805507463512,0.0838805507463512
406.35278,0.0838359704231466,0.0838359704231466
