m/z,UPEC_12,mean
768.5863,0.1652719608677414,0.1652719608677414
746.6023,0.1525585051191331,0.1525585051191331
744.5874,0.1238516760733252,0.1238516760733252
796.525,0.1160523796528271,0.1160523796528271
720.5885,0.1103151791865799,0.1103151791865799
766.5714,0.1091340501280389,0.1091340501280389
780.5508,0.1086749712312061,0.1086749712312061
709.514,0.1065580012185858,0.1065580012185858
707.4991,0.093219495694017,0.093219495694017
758.5668,0.0905218147795191,0.0905218147795191
718.5736,0.0903796523121571,0.0903796523121571
806.5646,0.0870140005163645,0.0870140005163645
732.553,0.0855081031108432,0.0855081031108432
740.5526,0.0849954873637787,0.0849954873637787
737.4527,0.084730534437911,0.084730534437911
756.5519,0.0847065761760728,0.0847065761760728
742.5675,0.0810779600185434,0.0810779600185434
796.63007,0.0787209391577163,0.0787209391577163
534.292,0.0780714454407901,0.0780714454407901
518.3227,0.0780425018894664,0.0780425018894664
721.47845,0.0769273152268255,0.0769273152268255
770.5062,0.0766155477480483,0.0766155477480483
563.54065,0.0757225380917265,0.0757225380917265
824.5538,0.0743201256352221,0.0743201256352221
772.61615,0.0742770283571939,0.0742770283571939
772.5211,0.0730279732553846,0.0730279732553846
798.54,0.0730162483940121,0.0730162483940121
808.57947,0.0714429628639417,0.0714429628639417
754.5369,0.071413523383017,0.071413523383017
744.49243,0.0658104971132195,0.0658104971132195
728.5181,0.0647379667024635,0.0647379667024635
786.60046,0.0634885820313427,0.0634885820313427
318.10678,0.0622066966689148,0.0622066966689148
782.5657,0.0620765013374357,0.0620765013374357
575.5001,0.0611333696846173,0.0611333696846173
683.5002,0.0609216526012621,0.0609216526012621
537.5218,0.0605472046567068,0.0605472046567068
735.53284,0.0587798021057602,0.0587798021057602
731.498,0.0583949591947981,0.0583949591947981
711.4339,0.0566893524928771,0.0566893524928771
706.5391,0.0565857360990769,0.0565857360990769
723.49335,0.0560275989571262,0.0560275989571262
551.50116,0.0555663790976676,0.0555663790976676
496.33868,0.055179942946769,0.055179942946769
818.59406,0.0539130716241564,0.0539130716241564
749.5072,0.0533772770230819,0.0533772770230819
562.3257,0.052666266248355,0.052666266248355
739.46765,0.0524479096568948,0.0524479096568948
603.5338,0.0515191673648944,0.0515191673648944
549.48627,0.0509385356976216,0.0509385356976216
733.5179,0.0493994523940403,0.0493994523940403
747.49225,0.0489736912745657,0.0489736912745657
870.5367,0.0484823419518117,0.0484823419518117
863.682,0.045426530986538,0.045426530986538
523.4725,0.0453484884089821,0.0453484884089821
846.5378,0.0450944053520043,0.0450944053520043
760.58167,0.0448192408066549,0.0448192408066549
560.3108,0.0446539913704539,0.0446539913704539
856.5423,0.0442792662534292,0.0442792662534292
758.53674,0.0435147187835715,0.0435147187835715
745.47736,0.0431761871049058,0.0431761871049058
814.5592,0.0429126390646547,0.0429126390646547
889.7008,0.0428410884508529,0.0428410884508529
802.5898,0.0426770585282875,0.0426770585282875
577.52,0.0412277163190348,0.0412277163190348
820.5239,0.0411800320232035,0.0411800320232035
599.504,0.0410563089850474,0.0410563089850474
864.56696,0.0406036320326566,0.0406036320326566
816.5791,0.0404764239380413,0.0404764239380413
806.5096,0.0402220877482539,0.0402220877482539
778.5359,0.0401955261288866,0.0401955261288866
542.3216,0.0398993734176237,0.0398993734176237
727.5182,0.0398365598512597,0.0398365598512597
830.5635,0.0395678981781602,0.0395678981781602
812.5193,0.0384681223127744,0.0384681223127744
801.4248,0.038183496234554,0.038183496234554
826.56866,0.0380639654541064,0.0380639654541064
765.48145,0.0377162077632272,0.0377162077632272
741.5275,0.037575775364197,0.037575775364197
730.538,0.037441122416807,0.037441122416807
522.3575,0.0370156178295354,0.0370156178295354
804.5497,0.0368681713560874,0.0368681713560874
947.5032,0.0367812702795521,0.0367812702795521
441.2362,0.0367655839193723,0.0367655839193723
794.51013,0.0365478362161663,0.0365478362161663
478.3295,0.0363868107195273,0.0363868107195273
844.5229,0.036321734562594,0.036321734562594
695.45966,0.0361990121789041,0.0361990121789041
858.5622,0.0361224781317134,0.0361224781317134
871.7066,0.0361174827530956,0.0361174827530956
734.5679,0.0360710193526038,0.0360710193526038
682.4552,0.0358717922353645,0.0358717922353645
853.7224,0.0358547161678349,0.0358547161678349
885.666,0.0357826731008059,0.0357826731008059
601.5189,0.035548780489512,0.035548780489512
725.5533,0.0354795820451747,0.0354795820451747
758.5118,0.0352576830263416,0.0352576830263416
788.5504,0.0351066716432648,0.0351066716432648
840.57306,0.0350503796415061,0.0350503796415061
546.35144,0.0349516687894932,0.0349516687894932
740.5226,0.0349138623393416,0.0349138623393416
856.5073,0.0347033288939525,0.0347033288939525
782.5057,0.034245887709464,0.034245887709464
504.34332,0.0339873840229532,0.0339873840229532
844.4629,0.0339853940742922,0.0339853940742922
767.49634,0.0336914820388138,0.0336914820388138
730.57306,0.033625855338657,0.033625855338657
703.5743,0.0334376367752095,0.0334376367752095
768.55133,0.0333871848345005,0.0333871848345005
784.5256,0.0333764932481001,0.0333764932481001
845.6728,0.0332554114865406,0.0332554114865406
835.66327,0.0331338288528785,0.0331338288528785
430.37668,0.0331136045252781,0.0331136045252781
788.6154,0.0329479412880057,0.0329479412880057
829.7235,0.0329175400720556,0.0329175400720556
842.58795,0.0328556649195864,0.0328556649195864
597.4841,0.0327760792399322,0.0327760792399322
746.5673,0.032748231089303,0.032748231089303
925.51917,0.0324519801904471,0.0324519801904471
761.45166,0.0322092092904896,0.0322092092904896
787.46545,0.0319690741589333,0.0319690741589333
871.69165,0.0319176758237924,0.0319176758237924
615.4933,0.0318570029907496,0.0318570029907496
963.4775,0.0314563359992445,0.0314563359992445
459.2454,0.0307303960997439,0.0307303960997439
852.5125,0.0303190772438792,0.0303190772438792
868.5268,0.0302891803630625,0.0302891803630625
763.46155,0.0301741903433625,0.0301741903433625
751.5221,0.030110538937973,0.030110538937973
800.61487,0.0297643417183325,0.0297643417183325
818.50903,0.0297344012581002,0.0297344012581002
697.47455,0.0294671749813653,0.0294671749813653
854.5274,0.0293677770373571,0.0293677770373571
756.4919,0.0290814268513695,0.0290814268513695
633.4874,0.0290596576393752,0.0290596576393752
897.72546,0.0288736045292756,0.0288736045292756
830.5285,0.028831081861032,0.028831081861032
475.21967,0.0280151719001299,0.0280151719001299
445.27103,0.0278810656250148,0.0278810656250148
735.4328,0.0275703771683587,0.0275703771683587
883.77106,0.0274402650868916,0.0274402650868916
702.5443,0.0273198924475155,0.0273198924475155
828.4936,0.0273156428268691,0.0273156428268691
524.36743,0.0271979514402552,0.0271979514402552
855.73737,0.0270385004412513,0.0270385004412513
713.4488,0.0267763057531958,0.0267763057531958
465.2351,0.0267456994908394,0.0267456994908394
857.75226,0.0265324553210364,0.0265324553210364
313.272,0.0260382506597786,0.0260382506597786
818.564,0.0260317678353286,0.0260317678353286
617.5132,0.0257128998132107,0.0257128998132107
573.48517,0.0257023675262509,0.0257023675262509
832.5234,0.025499256809619,0.025499256809619
866.58185,0.0253373424408009,0.0253373424408009
337.2759,0.0252837787904364,0.0252837787904364
850.49756,0.0250935809022347,0.0250935809022347
852.5775,0.0250337710554358,0.0250337710554358
778.4759,0.0248508097815956,0.0248508097815956
891.7157,0.0248212391440595,0.0248212391440595
817.5591,0.0245534174402369,0.0245534174402369
810.5394,0.024281792227899,0.024281792227899
475.28964,0.0241306623900419,0.0241306623900419
495.26373,0.0238232267358593,0.0238232267358593
854.5624,0.0236079324348508,0.0236079324348508
785.45056,0.0235827605790419,0.0235827605790419
342.01572,0.0234022127959873,0.0234022127959873
813.68427,0.0232540046689637,0.0232540046689637
751.4071,0.0232221106717541,0.0232221106717541
