m/z,feature importance
768.5863037109375,0.99999994
796.5250244140625,0.4587472
521.3975219726562,0.41931117
746.602294921875,0.3462597
701.4093627929688,0.33430627
734.56787109375,0.3321925
744.58740234375,0.3209242
720.5885009765625,0.2752396
780.55078125,0.2335024
709.5139770507812,0.21668942
742.5675048828125,0.20825242
824.5537719726562,0.16949199
567.3904418945312,0.1601172
760.5816650390625,0.1583945
519.3826293945312,0.15490863
393.2983703613281,0.14533629
741.5275268554688,0.1426212
772.6161499023438,0.14075594
772.5211181640625,0.13753664
341.3057556152344,0.1324108
766.5714111328125,0.120642886
731.6029663085938,0.11983588
798.5399780273438,0.115465805
379.29400634765625,0.1133945
399.3230895996094,0.10975352
810.5994262695312,0.1083211
551.5011596679688,0.10727671
758.5367431640625,0.10582124
707.4990844726562,0.10462201
351.2652893066406,0.102246076
827.70361328125,0.09907077
496.33868408203125,0.098923385
848.5576782226562,0.09870492
737.4526977539062,0.09793687
408.147705078125,0.09684789
397.3081970214844,0.09563972
409.26763916015625,0.09557609
820.52392578125,0.09527938
630.6176147460938,0.094747156
835.6632690429688,0.09451479
650.4367065429688,0.09330328
836.543212890625,0.09085891
401.3380126953125,0.09080684
721.4784545898438,0.08959013
744.492431640625,0.08571431
808.5794677734375,0.085681036
628.6026611328125,0.08315772
551.3712158203125,0.08298749
587.4995727539062,0.082848325
718.5736083984375,0.08272301
768.5513305664062,0.08110686
565.5155639648438,0.080489546
789.4803466796875,0.08016142
429.3217468261719,0.07993923
806.5095825195312,0.07902737
833.7533569335938,0.078892544
851.6375122070312,0.07833581
634.4074096679688,0.07820904
524.367431640625,0.078059494
818.509033203125,0.07787573
706.5391235351562,0.07722227
788.6154174804688,0.07676372
701.5093383789062,0.07673456
538.5217895507812,0.07671909
738.5126953125,0.07564013
713.4487915039062,0.07554881
764.521484375,0.07525346
749.5072021484375,0.07435
883.7710571289062,0.07386081
850.49755859375,0.07374273
810.5394287109375,0.07337241
857.7522583007812,0.07335734
591.359375,0.07330428
646.6118774414062,0.07314703
725.5532836914062,0.07299957
364.2746887207031,0.072988465
361.27484130859375,0.072891146
723.4933471679688,0.07180335
806.5645751953125,0.071394876
645.5419311523438,0.07102001
732.552978515625,0.07100451
420.2171630859375,0.0698027
735.4328002929688,0.06956035
712.6788330078125,0.06942321
534.2919921875,0.06941603
794.5101318359375,0.06912704
797.5899658203125,0.06903501
786.6004638671875,0.0689273
482.3243408203125,0.06891708
710.4839477539062,0.068649426
495.26373291015625,0.06855358
607.4336547851562,0.067831844
829.7235107421875,0.0676211
886.595947265625,0.06725137
812.54931640625,0.066715404
793.5001831054688,0.06621739
859.7671508789062,0.06521173
670.6107788085938,0.06479797
546.5264282226562,0.06424661
787.4654541015625,0.06383084
796.6300659179688,0.06376009
602.5888671875,0.06314398
804.4946899414062,0.062662035
770.5062255859375,0.062593624
617.51318359375,0.062108044
868.5267944335938,0.06202281
683.5001831054688,0.061828252
849.6226196289062,0.06150304
758.5117797851562,0.061356124
723.5433349609375,0.061302725
845.6727905273438,0.06128383
735.5328369140625,0.06120828
870.5366821289062,0.060865495
838.55810546875,0.06056318
517.3277587890625,0.06055286
813.6842651367188,0.060109306
785.4505615234375,0.06007378
504.2833251953125,0.06005301
649.5167236328125,0.059892964
614.3483276367188,0.0596758
550.3562622070312,0.059658643
896.7155151367188,0.05937929
765.4814453125,0.05927482
421.2720947265625,0.05916309
510.3580627441406,0.05906989
549.3562622070312,0.059060175
801.684814453125,0.05890264
739.4676513671875,0.0588951
874.5714721679688,0.05881918
497.2786560058594,0.058809195
767.496337890625,0.058695454
902.7651977539062,0.05848174
896.48046875,0.058470707
537.48681640625,0.058452424
754.5369262695312,0.05837683
792.5652465820312,0.058041785
769.561279296875,0.0578469
676.4555053710938,0.057646405
856.5422973632812,0.057600338
740.5526123046875,0.05735973
419.252197265625,0.057320807
371.3193664550781,0.05723125
560.5007934570312,0.05714081
874.4915161132812,0.056912687
