m/z,feature importance,mean
768.59,1.0,0.1652719608677414
357.07,0.6933161,-0.0059565437928291
746.6,0.6456513,0.1525585051191331
633.17,0.57327557,-0.0010634406213348
897.73,0.5336181,0.0288736045292756
560.5,0.4823874,0.0046345795120859
348.19,0.4720059,0.0168499383148522
621.48,0.42090294,0.0092448868946246
612.45,0.41992787,0.0079600628388561
607.43,0.41776568,0.0113000365446549
