,UPEC_13
768.5863,0.12810069159225068
780.5508,0.12402452414639276
796.525,0.12294779829049496
746.6023,0.12280252188442742
824.5538,0.12067132941885594
786.60046,0.11892530442006743
603.5338,0.11881157720584867
758.5668,0.11867577487519432
808.57947,0.11857740029136954
744.5874,0.11578860903332422
575.5001,0.11526541258392409
721.47845,0.11355318319317997
765.48145,0.11333106335761123
737.4527,0.1129682451500631
749.5072,0.11179882380733253
782.5657,0.11057858549377153
826.56866,0.109497035129421
723.49335,0.10880656937315059
798.54,0.10877608506469971
551.50116,0.10835301359693994
804.5497,0.10797042906333343
534.292,0.10705450571934416
720.5885,0.1067011646482603
806.5646,0.10666927138663318
496.33868,0.10632709151627195
760.58167,0.10625632294970244
739.46765,0.1060071606695393
518.3227,0.1058705656390847
810.5994,0.10509359756971537
820.5239,0.1050533875264662
754.5369,0.10465088776527254
788.6154,0.10450808108611498
770.5062,0.10385028878901137
768.55133,0.10272513019755625
767.49634,0.10152166024500575
761.45166,0.10149939293169852
732.553,0.10100582925210222
745.47736,0.1005911470970825
763.46155,0.10053809487286014
562.3257,0.10041463836059028
832.5834,0.10022127382249824
524.36743,0.10017297877721043
751.5221,0.09996017389330858
848.5577,0.09918721721228474
546.35144,0.09903444787047788
747.49225,0.09877010927529273
766.5714,0.09734451455734261
313.272,0.09615162065487892
846.5378,0.095802363640755
746.5673,0.09571722644292346
794.51013,0.09552545265804457
709.514,0.09456536243390246
830.5635,0.09424600133387906
772.61615,0.09400046548632346
478.3295,0.09396504549719609
756.5519,0.09392223552786083
742.5675,0.09382612257304879
774.601,0.0931547096226828
459.2454,0.09284405732193768
784.5256,0.0927641857692506
789.48035,0.092697903206309
778.5359,0.09267969533136355
695.45966,0.09228267901035014
816.5791,0.09210546860168001
711.4339,0.09207525951626894
818.59406,0.09113714455391375
883.77106,0.09107539812898191
573.48517,0.09105464936683849
806.5096,0.09080227542958219
752.55707,0.09068011688567124
796.585,0.08997146002316869
758.53674,0.08962477131261304
718.5736,0.0893981571072422
725.5533,0.08902401552872541
522.3575,0.08857754428423614
735.4328,0.0883836175736814
810.5394,0.08767052844452561
504.34332,0.08765727118488476
521.3975,0.08657565507221265
814.5592,0.08630441987779569
741.5275,0.08613756412347906
787.46545,0.08594242354176629
371.31937,0.08535329552842863
812.5493,0.0851887592050623
487.2791,0.08507530271944297
855.73737,0.0849952779176224
393.29837,0.08488631517614786
818.50903,0.08455675134837337
337.2759,0.08412181534121288
731.498,0.08407866442000311
881.75116,0.08384553170551035
597.4841,0.08321898791922155
560.3108,0.08289527741922953
475.21967,0.08263140708859695
419.2522,0.08250685023714965
857.75226,0.08216606523621595
740.5526,0.08173405564686476
794.5701,0.08167058682589601
785.45056,0.08162986785290505
863.682,0.08158505148208117
790.5553,0.08158367287631696
750.5421,0.0814559209836726
506.35825,0.08143835090876672
719.45856,0.08116382315391102
707.4991,0.08081518132894305
703.5743,0.08062846269207702
782.5057,0.08059313283042324
399.3231,0.08041443091165767
844.5229,0.08040055263086732
697.47455,0.08015743836060907
519.3826,0.0799195308888887
845.6728,0.07966219592599444
766.5414,0.07928035547896817
897.72546,0.07914125186884524
834.5383,0.07873702584865672
879.73627,0.07845290012331296
772.5211,0.07822936866383945
740.5226,0.07756093536816244
753.482,0.07743758083587648
728.5181,0.07735074834387012
713.4488,0.07734774560068813
769.5613,0.07713370441432355
828.4936,0.07632962116947217
730.538,0.07617890052257226
871.7066,0.07575003423640214
500.3135,0.0755701589888722
859.76715,0.07556816817733247
812.5193,0.07548629347245828
409.26764,0.07547156369928487
744.49243,0.07546105914163814
734.5679,0.07541631750403299
835.66327,0.07523386736665949
617.5132,0.07512390243285816
853.7224,0.07481295683577649
341.30576,0.07464383634024851
830.5285,0.0741813372326936
311.26712,0.0739028757319169
800.61487,0.07384569249135176
792.56525,0.07375638561589026
724.5283,0.07372678457262061
796.63007,0.07334519484478441
852.5775,0.07329569620766996
850.49756,0.07320607035604043
756.4919,0.07318545653254038
861.66705,0.07308028742652328
818.564,0.07285729555164766
445.27103,0.07283661618600334
828.5536,0.07231688033706096
650.4367,0.07229257199912165
820.60394,0.07202971846209483
769.47626,0.07178997433195033
