m/z,UPEC_15,UPEC_14,UPEC_13,UPEC_12,mean
768.5863,0.1123707375762742,0.1256099367534477,0.1281006915922506,0.2217117529303272,0.14694827971307492
796.525,0.1167143491411326,0.1407382485034972,0.1229477982904949,0.1953733828355207,0.14394344469266135
780.5508,0.1116096942915112,0.1435547047976357,0.1240245241463927,0.1853524259463166,0.14113533729546404
824.5538,0.1134636558233912,0.1510392150264287,0.1206713294188559,0.1689026352820741,0.13851920888768748
798.54,0.1099845145578326,0.1560792415066819,0.1087760850646997,0.1713962349987584,0.13655901903199313
808.57947,0.1099574374558806,0.1496151579027175,0.1185774002913695,0.164077650069945,0.13555691142997817
782.5657,0.1097359406252482,0.1562182128604108,0.1105785854937715,0.1634720852640102,0.1350012060608602
758.5668,0.1092044307661881,0.1301337678876573,0.1186757748751943,0.1777825884201731,0.1339491404873032
746.6023,0.0985018973554811,0.1058537664635334,0.1228025218844274,0.2067426564778087,0.13347521054531264
786.60046,0.1050241561548263,0.1398649517198106,0.1189253044200674,0.167584941773476,0.13284983851704507
723.49335,0.0986548382413416,0.1478573064626585,0.1088065693731505,0.1624553267589281,0.12944351020901967
739.46765,0.1014277576012212,0.1428673619525802,0.1060071606695393,0.1673894800028227,0.12942294005654084
603.5338,0.104423343803501,0.1286488263792971,0.1188115772058486,0.1613105954351483,0.12829858570594876
820.5239,0.1079425240744547,0.1383458512649306,0.1050533875264662,0.1604336421150115,0.12794385124521573
744.5874,0.0963606999093518,0.1100269359459159,0.1157886090333242,0.1887481333945828,0.12773109457079368
826.56866,0.1004814109008342,0.1428694650155224,0.109497035129421,0.1529157384979196,0.1264409123859243
760.58167,0.1047091444293739,0.146321694133523,0.1062563229497024,0.1477281313156437,0.12625382320706074
770.5062,0.0963739183002136,0.1517774897871178,0.1038502887890113,0.1529543423144271,0.12623900979769245
575.5001,0.1042954300671981,0.1312468555316736,0.115265412583924,0.1539220669246264,0.12618244127685552
804.5497,0.1025381258623912,0.1412424578812363,0.1079704290633334,0.1522772161668595,0.1260070572434551
737.4527,0.0964339315168972,0.115897691657462,0.1129682451500631,0.1749195406681011,0.12505485224813084
765.48145,0.0998565338310424,0.1244715616608955,0.1133310633576112,0.1621043774374347,0.12494088407174594
806.5646,0.1047523502451419,0.1195252671112625,0.1066692713866331,0.1681466661768476,0.12477338872997126
754.5369,0.0898322931601911,0.1442613712034056,0.1046508877652725,0.155427629152437,0.12354304532032653
749.5072,0.0931882030945349,0.1308162638496178,0.1117988238073325,0.1558532702431692,0.1229141402486636
721.47845,0.0901819101205627,0.1158042040558651,0.1135531831931799,0.1687777549191436,0.12207926307218783
551.50116,0.1047720708762263,0.1187029518563528,0.1083530135969399,0.1541874712465711,0.1215038768940225
810.5994,0.1004883816518831,0.1236367869005534,0.1050935975697153,0.1529291969943513,0.12053699077912577
788.6154,0.0924560316607311,0.1350378430961926,0.1045080810861149,0.1482472189145629,0.12006229368940038
732.553,0.0889726106733863,0.1397954199226319,0.1010058292521022,0.1462449925620622,0.11900471310254565
761.45166,0.0961244541982564,0.1166276940260466,0.1014993929316985,0.1566277557572859,0.11771982422832186
496.33868,0.0984770288993921,0.0986696636087246,0.1063270915162719,0.1642063731344298,0.1169200392897046
848.5577,0.0997781948122115,0.1094531728277031,0.0991872172122847,0.1563735781888413,0.11619804076026015
534.292,0.0975682214994724,0.086362309086282,0.1070545057193441,0.1697986057467966,0.11519591051297379
832.5834,0.0970255788647536,0.1095943812583055,0.1002212738224982,0.1535231528290818,0.11509109669365977
766.5714,0.0963797726527364,0.0869278193381523,0.0973445145573426,0.174559489042833,0.11380289889776607
846.5378,0.0921276953551928,0.1205206446187125,0.095802363640755,0.1447760379643501,0.11330668539475261
745.47736,0.0874918634550262,0.1183959395536455,0.1005911470970825,0.1457779355091667,0.11306422140373024
768.55133,0.0858477266605697,0.1252455523459594,0.1027251301975562,0.1352825166870889,0.11227523147279356
763.46155,0.0899203717751081,0.1101659373391944,0.1005380948728601,0.1444401488699369,0.11126613821427488
767.49634,0.0828402815951574,0.1171168126761843,0.1015216602450057,0.1434282669641353,0.11122675537012068
756.5519,0.0947608390713097,0.080275015850195,0.0939222355278608,0.1737849945026193,0.1106857712379962
747.49225,0.0853059018826869,0.105446595334133,0.0987701092752927,0.1532089346374033,0.11068288528237896
751.5221,0.08436645451512,0.1186242833532059,0.0999601738933085,0.1379796673610253,0.11023264478066491
313.272,0.1017951637530873,0.0956351336101026,0.0961516206548789,0.1467835141020407,0.11009135803002737
518.3227,0.0861727444363739,0.0812003013773744,0.1058705656390847,0.1652126797744949,0.10961407280683197
720.5885,0.0814552094312828,0.0686529767192534,0.1067011646482603,0.1789179102212289,0.10893181525500636
562.3257,0.0923985518034068,0.0793078267137659,0.1004146383605902,0.1621749585042263,0.1085739938454973
741.5275,0.1017686884346737,0.0584355126345603,0.086137564123479,0.1861683467759497,0.10812752799216568
830.5635,0.0822816531671128,0.1160504658200328,0.094246001333879,0.1378032164935638,0.1075953342036471
794.51013,0.0758633850229635,0.1264203773614121,0.0955254526580445,0.1310021438218467,0.1072028397160667
711.4339,0.0759507684125068,0.1147577964326787,0.0920752595162689,0.1387630714811569,0.10538672396065282
524.36743,0.0907445857544438,0.0868215754254346,0.1001729787772104,0.1437459928301752,0.10537128319681599
746.5673,0.0764897885365957,0.1212858399357258,0.0957172264429234,0.124405692288166,0.10447463680085273
789.48035,0.0918801563713187,0.0970240098811233,0.092697903206309,0.1358404220015632,0.10436062286507855
709.514,0.0805501362548308,0.0785434803697798,0.0945653624339024,0.163069140154566,0.10418202980326974
725.5533,0.0943089515275629,0.055520027789031,0.0890240155287254,0.1769752996284151,0.1039570736184336
742.5675,0.0865911164044865,0.0781435510567826,0.0938261225730487,0.1566941532459034,0.10381373582005529
784.5256,0.0755113665688249,0.1203711249731204,0.0927641857692506,0.1247922300617956,0.10335972684324787
478.3295,0.0835500672543991,0.0929915403995151,0.093965045497196,0.1363613715690584,0.10171700618004215
695.45966,0.0747592077371969,0.1149767758403702,0.0922826790103501,0.1225032341312472,0.1011304741797911
772.61615,0.0777266606700942,0.0883639402812886,0.0940004654863234,0.1410205157243409,0.10027789554051178
816.5791,0.0771391369597165,0.0974303112658233,0.09210546860168,0.1334020777811,0.10001924865207995
546.35144,0.0812704044330236,0.0745855275628359,0.0990344478704778,0.144414590402614,0.09982624256723784
774.601,0.0699323129550327,0.113001372474214,0.0931547096226828,0.119292671997037,0.09884526676224162
393.29837,0.103770459686581,0.0617945840270965,0.0848863151761478,0.1447219099611306,0.09879331721273897
521.3975,0.105012513510153,0.0717691954034829,0.0865756550722126,0.1309610023115557,0.09857959157435106
778.5359,0.0679438723858401,0.1175365576193965,0.0926796953313635,0.1154085329395596,0.09839216456903993
806.5096,0.0737449360246573,0.0854326444614842,0.0908022754295821,0.142096770933148,0.09801915671221789
812.5493,0.0718458108053794,0.1044936727741012,0.0851887592050623,0.1299249753225172,0.09786330452676503
772.5211,0.0905339412018714,0.0634265975446288,0.0782293686638394,0.1588394530579715,0.09775734011707778
752.55707,0.0741830681289424,0.1141562578495676,0.0906801168856712,0.1114287221835492,0.0976120412619326
703.5743,0.0853086879639085,0.0527229172247414,0.080628462692077,0.1678526700184417,0.09662818447479216
796.585,0.0748221090635703,0.0913898336466692,0.0899714600231686,0.1301148574535069,0.09657456504672873
573.48517,0.0772641025207048,0.1010631786123675,0.0910546493668384,0.1121860117950531,0.09539198557374094
341.30576,0.0939542270480506,0.0709303636853269,0.0746438363402485,0.1410827654654127,0.09515279813475969
459.2454,0.0740463255896032,0.0763409742551131,0.0928440573219376,0.1362660651576467,0.09487435558107515
504.34332,0.0742131924573513,0.097036164250152,0.0876572711848847,0.1198180128691882,0.09468116019039405
787.46545,0.0744997558598115,0.0852045581538816,0.0859424235417662,0.1326627036040754,0.09457736028988367
718.5736,0.0642494998729115,0.0912911218060819,0.0893981571072422,0.1326840837731292,0.09440571563984121
