m/z,UPEC_13,UPEC_15,UPEC_14,UPEC_12,mean
768.5863,0.0859693345576463,0.0840807195814976,0.0986377355640183,0.182896690969251,0.1128961201681033
796.525,0.0688568433641312,0.0775401597696403,0.113205685053512,0.1446043395056366,0.10105175692323001
746.6023,0.08195892324976,0.0712841638576625,0.0776703648159397,0.1682739866243027,0.09979685963691623
780.5508,0.0713756673765392,0.0732030492540212,0.1165697398634613,0.1324201235999138,0.09839214502348387
744.5874,0.0805135621139488,0.0732616132729161,0.0863057086203768,0.1530330851752873,0.09827849229563225
824.5538,0.0679128572423959,0.0757108606871072,0.1257300144254725,0.1141073383146691,0.09586526766741119
808.57947,0.0633719515480909,0.0719206852975984,0.1240398972847604,0.108490459142603,0.09195574831826317
798.54,0.0485654456601612,0.0681695104532003,0.1327158703698367,0.1131575022369062,0.0906520821800261
782.5657,0.0500224182813698,0.0683737815554347,0.1333214821197708,0.1030987630312106,0.08870411124694647
786.60046,0.0635015486839001,0.0678610145661326,0.1119651047795272,0.1100205541421095,0.08833705554291735
758.5668,0.0610377917012091,0.0694353828215728,0.0994222086799634,0.1226940623822965,0.08814736139626045
723.49335,0.0505855245686885,0.058388561555024,0.1218365975819899,0.1025778951909614,0.08334714472416595
603.5338,0.0639755885477116,0.0657945550328405,0.0979710312117817,0.1036446960019765,0.08284646769857758
770.5062,0.0459786916283603,0.0576576661841808,0.1266075799666915,0.0986477552816728,0.08222292326522634
739.46765,0.0449233677843205,0.0602990935989918,0.1156819562247255,0.1079289503525513,0.08220834199014727
765.48145,0.0590309299152861,0.0632968073948549,0.0945984956650677,0.1059608133101802,0.08072176157134722
754.5369,0.049488390798934,0.0539609464115278,0.1182471027043537,0.1006586239937703,0.08058876597714645
575.5001,0.0590343193381351,0.0652366588633424,0.101105992431691,0.0967043819040804,0.08052033813431222
826.56866,0.0518841671430825,0.0601591006646995,0.1158130900976961,0.0939430325970592,0.08044984762563433
720.5885,0.0722619127542173,0.0584265629790491,0.0438642526348001,0.1443934556023613,0.07973654599260695
749.5072,0.059076095954073,0.056974672883174,0.1025103964610242,0.1001716590595904,0.0796832060894654
737.4527,0.0564826796628664,0.0587379095542092,0.0834477758558355,0.1200294289473709,0.0796744485050705
820.5239,0.0409866847171839,0.0653994467635916,0.1101235395985475,0.0989104295293229,0.07885502515216147
804.5497,0.0474077170950122,0.0612905235565679,0.113657282969733,0.0906390951136697,0.0782486546837457
721.47845,0.0595996928443407,0.0537773522075265,0.0843807975192605,0.1138883535292571,0.0779115490250962
806.5646,0.0463701437189188,0.0666955685139141,0.0864917639803749,0.1114703998068678,0.0777569690050189
760.58167,0.0415613383080986,0.0625949751456623,0.1208017080713188,0.0855154731759922,0.07761837367526797
766.5714,0.0458932691712354,0.0670374374525651,0.0553060899597496,0.1295672765795693,0.07445101829077985
772.61615,0.060958385154371,0.0572523922862558,0.0672595405026348,0.1087360206633975,0.07355158465166478
732.553,0.0399986986642974,0.0522063428362044,0.1121203802417966,0.0896997822380927,0.07350630099509778
709.514,0.0551131229014743,0.0554839134519363,0.053678161004004,0.1251244320401614,0.072349907349394
742.5675,0.0549771393164311,0.0619270189050898,0.0522206214933286,0.119949207740161,0.07226849686375263
788.6154,0.0418905860815905,0.0533624703306061,0.1061170077944814,0.0863083784177709,0.07191961065611223
551.50116,0.0445543744703784,0.0610293173163059,0.083996128112341,0.0925697843284116,0.07053740105685923
810.5994,0.0397625083608259,0.05788716241122,0.0909555979583863,0.0883318562199105,0.06923428123758568
794.51013,0.047235615995445,0.04646799873059,0.1020369439817608,0.0808310486425613,0.06914290183758928
761.45166,0.0387849165488262,0.0556930132645977,0.0836224067950748,0.0959064173517413,0.06850168849006
768.55133,0.046872077629821,0.0503856346409425,0.0958741748719799,0.0779643411527898,0.06777405707388329
745.47736,0.0412788103771827,0.048693210904745,0.086878529201746,0.0856228477957486,0.06561834956985557
767.49634,0.0441769749325306,0.0456560691609238,0.0870932585903566,0.0852884061402106,0.06555367720600541
751.5221,0.0441890360797083,0.0474768571393113,0.0890338488333414,0.0813820105232033,0.06552043814389108
846.5378,0.0311588874960703,0.0527543877865413,0.0889044594991454,0.0857542160689607,0.06464298771267943
747.49225,0.0417142781908341,0.0478020416226117,0.0728267032263174,0.0961681115331116,0.0646277836432187
832.5834,0.0360913143636211,0.0555890213569162,0.074324317628863,0.0900464200464042,0.06401276834895112
784.5256,0.0433872138662729,0.0453880814879897,0.0947753370123673,0.0719290284749284,0.06386991521038957
496.33868,0.0385791254262757,0.0542418571654849,0.0559812933929821,0.1037758485669728,0.06314453113792888
534.292,0.042551412518221,0.0548188560007691,0.0418818153971302,0.1132690563922896,0.06313028507710247
763.46155,0.0404867449949005,0.0488855491037428,0.0764585164679651,0.0863855448540411,0.06305408885516238
848.5577,0.030541356155259,0.0559392047292977,0.0728900587774124,0.0918746710010679,0.06281132266575924
718.5736,0.0477100569934736,0.0407168276244372,0.0667638732225582,0.0945060589570064,0.062424204199368845
746.5673,0.0416625068984317,0.0428008251430512,0.0928932142757232,0.0703805615529533,0.06193427696753985
816.5791,0.0442792446923161,0.0506940193512918,0.0704708584296512,0.0818635873912257,0.0618269274661212
830.5635,0.0345412342012665,0.0459681971583867,0.0854281099250585,0.0802000155927049,0.061534389219354155
711.4339,0.0350735960045279,0.0406500950685115,0.0850615538395735,0.0852273946211779,0.0615031598834477
778.5359,0.0451164784780472,0.0393205622905797,0.092510912487648,0.0681119992898839,0.0612649881365397
752.55707,0.0437836779131397,0.0453976171610623,0.0879710511166549,0.0629081771113838,0.060015130825560176
518.3227,0.0449664180405827,0.0459228141016033,0.0392285171443489,0.1091966444354577,0.05982859843049815
758.53674,0.0503746256516863,0.0603805144265211,0.0382964484288433,0.0878045027616406,0.05921402281717282
695.45966,0.036777235851572,0.0419488868650552,0.086338148816183,0.0708578708606117,0.05898053559835548
740.5526,0.0409121311006747,0.0471234927296075,0.0601386280195188,0.0862523547206774,0.058606651642619606
731.498,0.0396500882613009,0.043948264906537,0.0592205117136058,0.0912038573834811,0.05850568056623119
818.59406,0.0456021365205867,0.0448798074171931,0.0571552012260077,0.0836332873421367,0.057817608126481054
707.4991,0.0442990164565727,0.0486403645863081,0.0390139882680931,0.0982534897006063,0.05755171475289505
774.601,0.0407851078259884,0.0386754255179173,0.0850604949462061,0.065631236933323,0.0575380663058587
812.5493,0.0353973955323925,0.040592332940442,0.0764823556303283,0.0744025102557942,0.056718648589739254
562.3257,0.0349743098411043,0.0503617578139849,0.0346895939268552,0.1039054901199574,0.055982787925475445
313.272,0.0266815503041754,0.057413691249546,0.0532249737773876,0.0859831347029876,0.05582583750852415
756.5519,0.0213511927685217,0.0497946105501084,0.0326539605486798,0.1158492811857778,0.05491226126327192
810.5394,0.042288884718319,0.0393959742763017,0.0696216580277361,0.0677783578328876,0.0547712187138111
573.48517,0.0367590921417297,0.0455272603675815,0.070749461845871,0.0635435796798846,0.054144848508766705
806.5096,0.0347681718174179,0.0421535453873757,0.0545963902687487,0.0849243384732956,0.05411061148670948
