m/z,feature importance
701.4093627929688,0.12966603
859.5321655273438,0.12966348
368.30450439453125,0.12947316
884.5060424804688,0.12797302
746.5673217773438,0.12793723
730.5380249023438,0.12793368
420.2171630859375,0.12744895
776.5559692382812,0.12721893
324.2765197753906,0.12703751
860.5421142578125,0.12635317
625.517822265625,0.12525693
564.2905883789062,0.12514022
398.1031494140625,0.124846354
416.15234375,0.124835566
888.4508666992188,0.12441646
409.26763916015625,0.12391615
876.58642578125,0.12391134
339.29083251953125,0.12386913
701.5093383789062,0.1232771
724.5283203125,0.12316251
351.2652893066406,0.122965254
397.22821044921875,0.122032635
645.5018920898438,0.12157276
548.3113403320312,0.12071837
314.1069641113281,0.12049703
653.5465698242188,0.12036118
725.5532836914062,0.11964958
384.18878173828125,0.119358584
503.098388671875,0.119250365
599.5040283203125,0.119056836
478.3294982910156,0.11876317
342.0157165527344,0.11863856
804.5496826171875,0.11859329
871.7066040039062,0.118567675
526.3273315429688,0.11832492
785.4505615234375,0.11805919
633.4874267578125,0.117805384
852.5775146484375,0.11756686
872.5565795898438,0.11748209
842.5879516601562,0.117214896
358.0099792480469,0.11700648
909.544921875,0.11659639
475.21966552734375,0.11654316
806.5095825195312,0.11534419
535.471923828125,0.115291215
925.5191650390625,0.11487455
838.6281127929688,0.11433614
645.5419311523438,0.11429327
361.27484130859375,0.11421966
569.4053955078125,0.11417701
517.3627319335938,0.113997065
730.5730590820312,0.11295147
345.0005798339844,0.11274979
350.2953186035156,0.1127285
963.4774780273438,0.112331346
590.3494262695312,0.111967355
675.445556640625,0.11178128
424.3619689941406,0.11161841
694.5147094726562,0.111584224
820.6039428710938,0.1115754
751.4620971679688,0.111327566
518.0626831054688,0.11130878
818.5640258789062,0.11033719
519.3826293945312,0.10961176
363.1197509765625,0.10944651
418.167236328125,0.1089765
713.4487915039062,0.108867295
833.6483764648438,0.10859971
597.4290771484375,0.10824377
881.7511596679688,0.108160496
443.2510986328125,0.10803527
725.4483032226562,0.10791534
731.4979858398438,0.1071195
576.570068359375,0.10691898
765.4814453125,0.1062609
358.16998291015625,0.10615338
835.6632690429688,0.105865285
617.17822265625,0.10556291
615.4932861328125,0.10538451
856.5422973632812,0.10475973
342.04071044921875,0.10400753
725.1983032226562,0.103908755
646.6118774414062,0.10377848
615.353271484375,0.103633545
379.29400634765625,0.10214749
310.3071594238281,0.10099649
520.507568359375,0.09977147
745.5523681640625,0.09907077
404.15289306640625,0.09899855
764.521484375,0.09875193
534.366943359375,0.09861552
828.4935913085938,0.09745746
603.5338134765625,0.097206295
614.17333984375,0.09691858
485.2641906738281,0.09676839
756.4918823242188,0.096690685
801.684814453125,0.096566446
786.6004638671875,0.096180946
683.5001831054688,0.096072204
768.5513305664062,0.09579302
482.3243408203125,0.09576454
793.5001831054688,0.09563684
314.93695068359375,0.09558426
912.5347900390625,0.09535807
445.2710266113281,0.09498434
516.247802734375,0.09480109
346.0805358886719,0.09458386
504.2833251953125,0.09451574
861.6670532226562,0.09440507
660.4212036132812,0.09394783
436.1864318847656,0.09304715
830.5634765625,0.09301983
631.1925659179688,0.092953034
874.5714721679688,0.092947856
500.3135070800781,0.09290831
853.722412109375,0.09266493
503.2533874511719,0.0924048
774.6010131835938,0.09209496
854.5274047851562,0.09189954
719.4585571289062,0.091630094
535.2369384765625,0.09152831
393.2983703613281,0.09147605
364.2746887207031,0.09131525
409.16265869140625,0.09126563
710.4839477539062,0.089757025
794.5701293945312,0.0895937
652.6015625,0.08951571
538.3967895507812,0.08927981
469.3249206542969,0.08906337
840.5730590820312,0.08887166
307.05230712890625,0.08869475
753.4819946289062,0.08834799
397.3081970214844,0.08786008
711.4338989257812,0.08720099
363.16473388671875,0.086423635
616.3582153320312,0.0854839
753.5869750976562,0.0853084
742.5675048828125,0.08528725
393.0933837890625,0.08527308
496.0787048339844,0.085125715
643.5269775390625,0.084759556
419.252197265625,0.084396586
437.2013854980469,0.08385061
399.3230895996094,0.0832174
733.5178833007812,0.0831648
506.3582458496094,0.083118394
459.2453918457031,0.08281829
597.4840698242188,0.08238895
723.4933471679688,0.081955545
606.148681640625,0.080413744
814.4891967773438,0.0801782
429.3217468261719,0.07998913
472.3897705078125,0.0795627
843.6578979492188,0.07948981
626.332763671875,0.07873737
599.3240356445312,0.077740975
387.3236389160156,0.07618678
632.1625366210938,0.075978726
487.27911376953125,0.075875625
913.459716796875,0.075646706
738.5126953125,0.075435214
388.1236267089844,0.0752201
363.29974365234375,0.074842945
573.4851684570312,0.07452145
576.4750366210938,0.07415141
463.2201843261719,0.07388599
749.5072021484375,0.07300356
604.603759765625,0.072921365
619.39306640625,0.0726723
620.1980590820312,0.07257284
927.4691162109375,0.07255107
387.24365234375,0.07232914
537.48681640625,0.07207093
392.1534423828125,0.0719341
615.1832885742188,0.071903236
310.1771545410156,0.07183912
546.3514404296875,0.071681365
747.4922485351562,0.071345344
880.5462036132812,0.07040529
602.5888671875,0.07029181
868.5267944335938,0.07025405
474.2846984863281,0.07022358
800.6148681640625,0.07010442
372.0943298339844,0.06995723
737.5077514648438,0.0693226
591.5343627929688,0.06889111
551.211181640625,0.06809272
804.4946899414062,0.06748187
849.4876098632812,0.06706387
648.6267700195312,0.06697239
902.7651977539062,0.06613126
851.6375122070312,0.065952614
431.3116455078125,0.06585012
575.5001220703125,0.06525928
479.2344665527344,0.06452571
611.5384521484375,0.064264566
912.6897583007812,0.06422219
891.7156982421875,0.06409952
790.5552978515625,0.063624956
613.5183715820312,0.0634835
565.5155639648438,0.0633846
560.310791015625,0.062574245
485.1991882324219,0.062402967
519.2626342773438,0.062327567
433.33154296875,0.060003582
630.192626953125,0.059976306
629.3726196289062,0.059750248
775.4609985351562,0.05952644
774.571044921875,0.059363205
598.3190307617188,0.059132997
311.0521240234375,0.05872333
300.0926208496094,0.058070373
854.5623779296875,0.05726275
502.4984130859375,0.05715755
396.1832580566406,0.057082683
626.5877685546875,0.057040367
517.3277587890625,0.055546645
814.5592041015625,0.055364143
593.50927734375,0.054900322
414.1374206542969,0.054741204
788.6154174804688,0.05424791
521.4525756835938,0.05399016
403.2029113769531,0.05370881
519.0626831054688,0.05369922
661.5211791992188,0.05239502
813.479248046875,0.052202668
380.303955078125,0.05186958
850.49755859375,0.051161867
531.4071044921875,0.050896585
855.7373657226562,0.05000684
631.3875732421875,0.048965476
485.2991943359375,0.048901867
830.5285034179688,0.04856334
812.519287109375,0.04853965
426.1368713378906,0.047227338
911.6798095703125,0.046197318
647.4218139648438,0.045826748
480.10943603515625,0.045185614
318.13677978515625,0.04483503
326.1064453125,0.044751123
646.411865234375,0.044516485
394.1683349609375,0.044242777
378.2840576171875,0.042491958
589.5194702148438,0.04124567
620.39306640625,0.04108364
376.1241455078125,0.03999932
382.28387451171875,0.0399731
833.7533569335938,0.038473196
641.5120849609375,0.038244437
767.496337890625,0.03793443
897.4854736328125,0.037677098
758.5117797851562,0.03575622
406.352783203125,0.035239607
650.4367065429688,0.035198066
547.4713745117188,0.03320504
887.4459228515625,0.032837424
628.6026611328125,0.032778993
546.5264282226562,0.0323614
387.0186767578125,0.032341048
863.6820068359375,0.031086136
352.2752380371094,0.030280618
612.6083984375,0.02946367
816.4341430664062,0.02890763
390.1385192871094,0.028577328
619.1580810546875,0.027434759
871.691650390625,0.026941795
415.2823791503906,0.02676205
896.7155151367188,0.026705591
723.5433349609375,0.026126815
618.1481323242188,0.026091311
895.6905517578125,0.025752272
886.595947265625,0.019168487
435.1064758300781,0.017916063
778.4758911132812,0.015654888
336.2809753417969,0.012037787
903.53515625,0.011884775
310.14215087890625,0.0
330.9112243652344,0.0
740.7075805664062,0.0
303.0124816894531,0.0
329.02630615234375,0.0
318.98675537109375,0.0
607.388671875,0.0
350.2553405761719,0.0
630.3776245117188,0.0
607.4686279296875,0.0
591.359375,0.0
839.4630737304688,0.0
587.4995727539062,0.0
583.3847045898438,0.0
561.0507202148438,0.0
823.663818359375,0.0
531.3421020507812,0.0
351.96527099609375,0.0
644.596923828125,0.0
466.3300476074219,0.0
439.3162841796875,0.0
603.1588134765625,0.0
400.1280517578125,0.0
380.14898681640625,0.0
712.6788330078125,0.0
798.4599609375,0.0
