,matrix_pears,matrix_spear,tissue_pears,tissue_spear,pixel_perc
cluster3.tif,0.24232418254542107,0.27060713997953223,0.09198553503259334,0.11355907768882008,0.7264835158154549
cluster7.tif,0.4152034293841487,0.3904211860790548,0.9253531678401801,0.7420311296023681,0.08997452748174672
cluster.tif,1.0,1.0,0.5544033415387566,0.48911776420218883,24.60377771428224
cluster9.tif,0.4115688486713729,0.3884225764186926,0.8785792019303645,0.7638158711710384,0.149552255138579
cluster12.tif,0.19246171750936353,0.3811383336766384,0.33976307155542246,0.4920192762177188,0.8371278671781436
cluster11.tif,0.31533651177117694,0.4144797590247897,0.6213834976384273,0.6858537491513851,0.1969712628654455
cluster6.tif,0.44203142313998744,0.31016993408522214,0.9811697998097348,0.8274154668404583,71.84466019417476
cluster10.tif,0.383835777985174,0.4222287630138328,0.7669399920832408,0.7549940228651889,0.1817728629529883
cluster8.tif,0.4515720526396731,0.442014529877628,0.9320860214029362,0.7782149001498416,0.27235532643123334
cluster1.tif,0.7492960437511526,0.4948778975792195,0.5362668374858508,0.3555170450768953,0.3635457259059766
cluster5.tif,0.3007868508355437,0.5672238593924448,0.40952229021713676,0.3875647903314753,0.090582463478245
cluster4.tif,0.1238432107868458,0.4995546339484663,0.05322253023108487,0.14844761870871034,0.6431962842951894
